TYPE_OF_CANCER_ID	NAME	CLINICAL_TRIAL_KEYWORDS	DEDICATED_COLOR	SHORT_NAME	PARENT
thpa	Papillary Thyroid Cancer	papillary thyroid cancer	Teal	THPA	wdtc
thpd	Poorly Differentiated Thyroid Cancer	poorly differentiated thyroid cancer	Teal	THPD	thyroid
thrlbcl	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma	t-cell/histiocyte-rich large b-cell lymphoma	LimeGreen	THRLBCL	mbn
thyc	Thymic Carcinoma	thymic carcinoma	Purple	THYC	tet
thym	Thymoma	thymoma	Purple	THYM	tet
thymus	Thymus	thymus	Purple	THYMUS	tissue
thyroid	Thyroid	thyroid	Teal	THYROID	tissue
tissue	Tissue	tissue		TISSUE	null
tlgl	T-Cell Large Granular Lymphocytic Leukemia	t-cell large granular lymphocytic leukemia	LimeGreen	TLGL	mtnn
tll	T-Lymphoblastic Leukemia/Lymphoma	t-lymphoblastic leukemia/lymphoma	LimeGreen	TLL	lnm
tlym	Testicular Lymphoma	testicular lymphoma	Red	TLYM	testis
tmds	Therapy-Related Myelodysplastic Syndrome	therapy-related myelodysplastic syndrome	LightSalmon	TMDS	tmn
tmeso	Testicular Mesothelioma	testicular mesothelioma	Red	TMESO	testis
tmn	Therapy-Related Myeloid Neoplasms	therapy-related myeloid neoplasms	LightSalmon	TMN	aml
tnet	Thymic Neuroendocrine Tumor	thymic neuroendocrine tumor	Purple	TNET	thymus
tpll	T-Cell Prolymphocytic Leukemia	t-cell prolymphocytic leukemia	LimeGreen	TPLL	mtnn
trcc	Translocation-Associated Renal Cell Carcinoma	translocation-associated renal cell carcinoma	Orange	TRCC	nccrcc
tscst	Sex Cord Stromal Tumor	sex cord stromal tumor	Red	TSCST	testis
tstad	Tubular Stomach Adenocarcinoma	tubular stomach adenocarcinoma	LightSkyBlue	TSTAD	stad
tt	Teratoma	teratoma	Red	TT	nsgct
tyst	Yolk Sac Tumor	yolk sac tumor	Red	TYST	nsgct
ua	Urachal Adenocarcinoma	urachal adenocarcinoma	Yellow	UA	urca
uad	Urethral Adenocarcinoma	urethral adenocarcinoma	Yellow	UAD	uca
uas	Uterine Adenosarcoma	uterine adenosarcoma	PeachPuff	UAS	usarc
uasc	Uterine Adenosquamous Carcinoma	uterine adenosquamous carcinoma	PeachPuff	UASC	ucec
uca	Urethral Cancer	urethral cancer	Yellow	UCA	bladder
ucca	Choriocarcinoma	choriocarcinoma	PeachPuff	UCCA	gtd
uccc	Uterine Clear Cell Carcinoma	uterine clear cell carcinoma	PeachPuff	UCCC	ucec
ucec	Endometrial Carcinoma	endometrial carcinoma	PeachPuff	UCEC	uterus
ucp	Undifferentiated Carcinoma of the Pancreas	undifferentiated carcinoma of the pancreas	Purple	UCP	pancreas
ucs	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	uterine carcinosarcoma/uterine malignant mixed mullerian tumor	PeachPuff	UCS	ucec
ucu	Urethral Urothelial Carcinoma	urethral urothelial carcinoma	Yellow	UCU	uca
uddc	Uterine Dedifferentiated Carcinoma	uterine dedifferentiated carcinoma	PeachPuff	UDDC	ucec
udmn	Undifferentiated Malignant Neoplasm	undifferentiated malignant neoplasm	Black	UDMN	cup
uec	Uterine Endometrioid Carcinoma	uterine endometrioid carcinoma	PeachPuff	UEC	ucec
uelms	Uterine Epithelioid Leiomyosarcoma	uterine epithelioid leiomyosarcoma	PeachPuff	UELMS	usmt
uesl	Undifferentiated Embryonal Sarcoma of the Liver	undifferentiated embryonal sarcoma of the liver	MediumSeaGreen	UESL	liver
ulm	Uterine Leiomyoma	uterine leiomyoma	PeachPuff	ULM	usmt
ulms	Uterine Leiomyosarcoma	uterine leiomyosarcoma	PeachPuff	ULMS	usmt
um	Uveal Melanoma	uveal melanoma	Green	UM	om
umc	Uterine Mucinous Carcinoma	uterine mucinous carcinoma	PeachPuff	UMC	ucec
umec	Uterine Mixed Endometrial Carcinoma	uterine mixed endometrial carcinoma	PeachPuff	UMEC	ucec
umlms	Uterine Myxoid Leiomyosarcoma	uterine myxoid leiomyosarcoma	PeachPuff	UMLMS	usmt
umnc	Uterine Mesonephric Carcinoma	uterine mesonephric carcinoma	PeachPuff	UMNC	ucec
unec	Uterine Neuroendocrine Carcinoma	uterine neuroendocrine carcinoma	PeachPuff	UNEC	ucec
upa	Urothelial Papilloma	urothelial papilloma	Yellow	UPA	bladder
updc	Poorly Differentiated Carcinoma of the Uterus	poorly differentiated carcinoma of the uterus	PeachPuff	UPDC	ucec
upecoma	Uterine Perivascular Epithelioid Cell Tumor	uterine perivascular epithelioid cell tumor	PeachPuff	UPECOMA	usarc
urca	Urachal Carcinoma	urachal carcinoma	Yellow	URCA	bladder
urcc	Unclassified Renal Cell Carcinoma	unclassified renal cell carcinoma	Orange	URCC	nccrcc
urmm	Mucosal Melanoma of the Urethra	mucosal melanoma of the urethra	Yellow	URMM	bladder
usarc	Uterine Sarcoma/Mesenchymal	uterine sarcoma/mesenchymal	PeachPuff	USARC	uterus
usc	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	uterine serous carcinoma/uterine papillary serous carcinoma	PeachPuff	USC	ucec
uscc	Urethral Squamous Cell Carcinoma	urethral squamous cell carcinoma	Yellow	USCC	uca
usmt	Uterine Smooth Muscle Tumor	uterine smooth muscle tumor	PeachPuff	USMT	usarc
ustad	Undifferentiated Stomach Adenocarcinoma	undifferentiated stomach adenocarcinoma	LightSkyBlue	USTAD	egc
ustump	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	uterine smooth muscle tumor of uncertain malignant potential	PeachPuff	USTUMP	usmt
uterus	Uterus	uterus	PeachPuff	UTERUS	tissue
utuc	Upper Tract Urothelial Carcinoma	upper tract urothelial carcinoma	Yellow	UTUC	bladder
uuc	Uterine Undifferentiated Carcinoma	uterine undifferentiated carcinoma	PeachPuff	UUC	ucec
uus	Undifferentiated Uterine Sarcoma	undifferentiated uterine sarcoma	PeachPuff	UUS	usarc
va	Vaginal Adenocarcinoma	vaginal adenocarcinoma	Purple	VA	vulva
vdys	Dysgerminoma	dysgerminoma	Purple	VDYS	vgct
vgce	Villoglandular Adenocarcinoma of the Cervix	villoglandular adenocarcinoma of the cervix	Teal	VGCE	cervix
vgct	Germ Cell Tumor of the Vulva	germ cell tumor of the vulva	Purple	VGCT	vulva
vimt	Immature Teratoma	immature teratoma	Purple	VIMT	vgct
vma	Mucinous Adenocarcinoma of the Vulva/Vagina	mucinous adenocarcinoma of the vulva/vagina	Purple	VMA	vulva
vmgct	Mixed Germ Cell Tumor	mixed germ cell tumor	Purple	VMGCT	vgct
vmm	Mucosal Melanoma of the Vulva/Vagina	mucosal melanoma of the vulva/vagina	Purple	VMM	vulva
vmt	Mature Teratoma	mature teratoma	Purple	VMT	vgct
voec	Embryonal Carcinoma	embryonal carcinoma	Purple	VOEC	vgct
vpdc	Poorly Differentiated Vaginal Carcinoma	poorly differentiated vaginal carcinoma	Purple	VPDC	vulva
vpe	Polyembryoma	polyembryoma	Purple	VPE	vgct
vpscc	Verrucous Penile Squamous Cell Carcinoma	verrucous penile squamous cell carcinoma	Blue	VPSCC	pscc
vsc	Squamous Cell Carcinoma of the Vulva/Vagina	squamous cell carcinoma of the vulva/vagina	Purple	VSC	vulva
vulva	Vulva/Vagina	vulva/vagina	Purple	VULVA	tissue
vyst	Yolk Sac Tumor	yolk sac tumor	Purple	VYST	vgct
wdls	Well-Differentiated Liposarcoma	well-differentiated liposarcoma	LightYellow	WDLS	lipo
wdtc	Well-Differentiated Thyroid Cancer	well-differentiated thyroid cancer	Teal	WDTC	thyroid
wm	Waldenstrom Macroglobulinemia	waldenstrom macroglobulinemia	LimeGreen	WM	lpl
wpscc	Warty Penile Squamous Cell Carcinoma	warty penile squamous cell carcinoma	Blue	WPSCC	pscc
wt	Wilms' Tumor	wilms' tumor	Orange	WT	kidney
