TYPE_OF_CANCER_ID	NAME	CLINICAL_TRIAL_KEYWORDS	DEDICATED_COLOR	SHORT_NAME	PARENT
osmca	Ovarian Seromucinous Carcinoma	ovarian seromucinous carcinoma	LightBlue	OSMCA	ovt
osos	Osteoblastic Osteosarcoma	osteoblastic osteosarcoma	White	OSOS	os
other	Other	other	Black	OTHER	tissue
ousarc	Uterine Sarcoma, Other	uterine sarcoma, other	PeachPuff	OUSARC	usarc
outt	Other Uterine Tumor	other uterine tumor	PeachPuff	OUTT	uterus
ovary	Ovary/Fallopian Tube	ovary/fallopian tube	LightBlue	OVARY	tissue
ovt	Ovarian Epithelial Tumor	ovarian epithelial tumor	LightBlue	OVT	ovary
oyst	Yolk Sac Tumor	yolk sac tumor	LightBlue	OYST	ogct
paac	Acinar Cell Carcinoma of the Pancreas	acinar cell carcinoma of the pancreas	Purple	PAAC	pancreas
paad	Pancreatic Adenocarcinoma	pancreatic adenocarcinoma	Purple	PAAD	pancreas
paasc	Adenosquamous Carcinoma of the Pancreas	adenosquamous carcinoma of the pancreas	Purple	PAASC	pancreas
pact	Cystic Tumor of the Pancreas	cystic tumor of the pancreas	Purple	PACT	pancreas
pampca	Pancreatobiliary Ampullary Carcinoma	pancreatobiliary ampullary carcinoma	Purple	PAMPCA	ampca
pancreas	Pancreas	pancreas	Purple	PANCREAS	tissue
panet	Pancreatic Neuroendocrine Tumor	pancreatic neuroendocrine tumor	Purple	PANET	pancreas
paos	Parosteal Osteosarcoma	parosteal osteosarcoma	White	PAOS	os
past	Pilocytic Astrocytoma	pilocytic astrocytoma	Gray	PAST	encg
pb	Pancreatoblastoma	pancreatoblastoma	Purple	PB	pancreas
pbl	Pineoblastoma	pineoblastoma	Gray	PBL	pint
pbs	Breast Sarcoma	breast sarcoma	HotPink	PBS	breast
pbt	Primary Brain Tumor	primary brain tumor	Gray	PBT	mbt
pcaectcl	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	primary cutaneous cd8 positive aggressive epidermotropic cytotoxic t-cell lymphoma	LimeGreen	PCAECTCL	mtnn
pcalcl	Primary Cutaneous Anaplastic Large Cell Lymphoma	primary cutaneous anaplastic large cell lymphoma	LimeGreen	PCALCL	pclpd
pcatcl	Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma	primary cutaneous acral cd8 positive t-cell lymphoma	LimeGreen	PCATCL	mtnn
pcfcl	Primary Cutaneous Follicle Center Lymphoma	primary cutaneous follicle center lymphoma	LimeGreen	PCFCL	mbn
pcgdtcl	Primary Cutaneous Gamma Delta T-Cell Lymphoma	primary cutaneous gamma delta t-cell lymphoma	LimeGreen	PCGDTCL	mtnn
pcgp	Craniopharyngioma, Papillary Type	craniopharyngioma, papillary type	Gray	PCGP	selt
pclbcllt	Primary Cutaneous DLBCL, Leg Type	primary cutaneous dlbcl, leg type	LimeGreen	PCLBCLLT	mbn
pclpd	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	primary cutaneous cd30 positive t-cell lymphoproliferative disorders	LimeGreen	PCLPD	mtnn
pcm	Plasma Cell Myeloma	plasma cell myeloma	LimeGreen	PCM	mbn
pcnsl	Primary DLBCL of the central nervous system	primary dlbcl of the central nervous system	LimeGreen	PCNSL	mbn
pcnsm	Primary CNS Melanoma	primary cns melanoma	LightSkyBlue	PCNSM	pcnsmt
pcnsmt	Primary CNS Melanocytic Tumors	primary cns melanocytic tumors	Gray	PCNSMT	brain
pcsmtpld	Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder	primary cutaneous cd4 positive small/medium t-cell lymphoproliferative disorder	LimeGreen	PCSMTPLD	mtnn
pct	Porphyria Cutania Tarda	porphyria cutania tarda	Black	PCT	skin
pd	Paget Disease of the Nipple	paget disease of the nipple	HotPink	PD	dcis
pdc	Poorly Differentiated Carcinoma, NOS	poorly differentiated carcinoma, nos	Black	PDC	cup
pecoma	Perivascular Epithelioid Cell Tumor	perivascular epithelioid cell tumor	LightYellow	PECOMA	soft_tissue
pel	Primary Effusion Lymphoma	primary effusion lymphoma	LimeGreen	PEL	mbn
pemeso	Peritoneal Mesothelioma	peritoneal mesothelioma	Green	PEMESO	peritoneum
penis	Penis	penis	Blue	PENIS	tissue
peos	Periosteal Osteosarcoma	periosteal osteosarcoma	White	PEOS	os
peritoneum	Peritoneum	peritoneum	Green	PERITONEUM	tissue
perl	Pure Erythroid Leukemia	pure erythroid leukemia	LightSalmon	PERL	amlnos
pgng	Paraganglioma	paraganglioma	Gray	PGNG	soft_tissue
pgnt	Papillary Glioneuronal Tumor	papillary glioneuronal tumor	Gray	PGNT	mnet
phc	Pheochromocytoma	pheochromocytoma	Purple	PHC	adrenal_gland
phch	Perihilar Cholangiocarcinoma	perihilar cholangiocarcinoma	Green	PHCH	chol
phgg	Pediatric High Grade Gliomas	brain,brain tumor	Gray	phgg	difg
phm	Partial Hydatidiform Mole	partial hydatidiform mole	PeachPuff	PHM	mp
phptld	Plasmacytic Hyperplasia PTLD	plasmacytic hyperplasia ptld	LimeGreen	PHPTLD	ptld
pinc	Pineocytoma	pineocytoma	Gray	PINC	pint
