BS_ID	SQ_Value
BS_52MPKTJH	NantOmics
BS_53CTGDQG	NantOmics
BS_53GQKVEX	NantOmics
BS_53M8PP88	NantOmics
BS_55JW3HFM	NantOmics
BS_55P8HPYD	NantOmics
BS_58YXHGAJ	BGI@CHOP Genome Center
BS_593HEWBF	NantOmics
BS_5965SFPZ	NantOmics
BS_59ZJWJTF	NantOmics
BS_5AF6ZNJF	NantOmics
BS_5CMGN56B	NantOmics
BS_5CTVXVRX	BGI@CHOP Genome Center
BS_5GNQC2FF	NantOmics
BS_5JM573JC	NantOmics
BS_5K3R0F5D	NantOmics
BS_5NWDARXG	NantOmics
BS_5P1TN10Z	NantOmics
BS_5P3CZQV8	NantOmics
BS_5PEFNDCY	NantOmics
BS_5PJCHF6V	NantOmics
BS_5PV5N4HQ	NantOmics
BS_5VPM0F36	The Translational Genomics Research Institute
BS_5VQP0E6K	NantOmics
BS_5YJEPPTP	NantOmics
BS_60K3EQ9S	NantOmics
BS_61E80SD6	NantOmics
BS_64HCD9K3	NantOmics
BS_66ABA973	NantOmics
BS_66HQ3E4Z	NantOmics
BS_67PX06P3	NantOmics
BS_67Z63A2K	NantOmics
BS_680K119G	NantOmics
BS_685DACMS	BGI@CHOP Genome Center
BS_68BW2163	NantOmics
BS_68KX6A42	The Translational Genomics Research Institute
BS_699TN5RN	NantOmics
BS_69V8P8A0	NantOmics
BS_6DCSD5Y6	NantOmics
BS_6G6C7VPX	NantOmics
BS_6H1C1ME9	NantOmics
BS_6HTK4YJP	NantOmics
BS_6JHXXVR7	NantOmics
BS_6M2053M0	The Translational Genomics Research Institute
BS_6MY8W3H0	NantOmics
BS_6MZ7FRZH	NantOmics
BS_6N3AFF66	NantOmics
BS_6NRTJSYK	NantOmics
BS_6NTXGQAC	NantOmics
BS_6P50QTPP	NantOmics
BS_6R7SFVV2	NantOmics
BS_6T4JGBGY	BGI@CHOP Genome Center
BS_6VF6VPCG	NantOmics
BS_6VPKXXMR	BGI@CHOP Genome Center
BS_6WP1FHTE	NantOmics
BS_6YMJ621P	NantOmics
BS_70FFPA51	NantOmics
BS_7327SDAQ	NantOmics
BS_742RHK1M	NantOmics
BS_74FS6GMW	NantOmics
BS_74G5K7JF	BGI@CHOP Genome Center
