BS_ID	SQ_Value
BS_6N3AFF66	NantOmics
BS_6N7RPHX9	NOT REPORTED
BS_6VPKXXMR	BGI@CHOP Genome Center
BS_6WBAV14H	NOT REPORTED
BS_6WP1FHTE	NantOmics
BS_6Y5F3QGV	NOT REPORTED
BS_6YYC47K2	NOT REPORTED
BS_70FFPA51	NantOmics
BS_70H191SN	NOT REPORTED
BS_7327SDAQ	NantOmics
BS_742RHK1M	NantOmics
BS_74FS6GMW	NantOmics
BS_74G5K7JF	BGI@CHOP Genome Center
BS_775HDFNY	NantOmics
BS_78A01TS9	NOT REPORTED
BS_7BTZQKYY	NantOmics
BS_7BW0YRPY	NantOmics
BS_7FWZ518S	NantOmics
BS_7G42J2SK	BGI@CHOP Genome Center
BS_7GJT4A6A	NantOmics
BS_7N0B2CY1	NantOmics
BS_7P83Z28P	NantOmics
BS_7WM3MNZ0	The Translational Genomics Research Institute
BS_7XRN3CFX	NantOmics
BS_7Z93ZYMS	NantOmics
BS_7ZV3DPGT	NantOmics
BS_81SP2HX4	NantOmics
BS_82Q78622	NOT REPORTED
BS_84XCR9GG	NantOmics
BS_893A91ZM	NantOmics
BS_896YFFGE	NOT REPORTED
BS_8D0NYM46	NantOmics
BS_8F9BDWY4	NantOmics
BS_8GD69HHF	NOT REPORTED
BS_8GW1TMV2	BGI@CHOP Genome Center
BS_8J3B6ZB6	NantOmics
BS_8MA5B8Y9	BGI@CHOP Genome Center
BS_8NY9J9NQ	NantOmics
BS_8PNA0V6R	NantOmics
BS_8Q77HZ4R	NantOmics
BS_8QB4S4VA	BGI
BS_8RCR7Y4B	NantOmics
BS_8RHPJ740	NantOmics
BS_8S86CM61	NantOmics
BS_8SKZ7BRN	NantOmics
BS_8V59CEJJ	NOT REPORTED
BS_8VAZSJEN	NantOmics
BS_8VPBB5C2	NOT REPORTED
BS_8Z3SCKB5	NantOmics
BS_8ZD6J47V	NantOmics
BS_8ZP3CBQA	NantOmics
BS_8ZS9F31R	BGI@CHOP Genome Center
BS_8ZY4GST0	The Translational Genomics Research Institute
BS_91VYM11A	NantOmics
BS_94JMQ7MX	NOT REPORTED
BS_94ZKC2SR	NOT REPORTED
BS_9755PSCS	NantOmics
BS_97M1E2DW	NantOmics
BS_983Z6CA6	NantOmics
BS_996ZS2A4	NantOmics
BS_99B1XRZQ	NantOmics
BS_9BYP1GZS	NOT REPORTED
BS_9CA93S6D	NantOmics
BS_9DZ253JY	NantOmics
BS_9F09XV62	NantOmics
BS_9G69F50J	NantOmics
BS_9GJ23RHH	NantOmics
BS_9JBYGRQW	NOT REPORTED
BS_9M5XJ10G	NantOmics
BS_9NJHQE9F	NantOmics
BS_9NZ2D6AD	NantOmics
BS_9Q6Z6VJC	NantOmics
BS_9R8GFR36	NOT REPORTED
BS_9SJWWYQ4	NantOmics
BS_9TKGBJH7	NOT REPORTED
BS_9V633J1X	NantOmics
BS_9XVACXP0	NantOmics
BS_9XWJ88Q1	NantOmics
BS_A0DYVX9J	BGI@CHOP Genome Center
BS_A13BMEF5	NantOmics
BS_A14Z8BBK	NantOmics
BS_A1VEGWTR	NantOmics
BS_A3198WFE	NOT REPORTED
BS_A3QZB9Y2	NantOmics
BS_A9FNKG9K	NOT REPORTED
BS_AD4JPN9Q	NantOmics
BS_AFRGW493	NOT REPORTED
BS_AG3D3435	NantOmics
BS_AGS1HHGF	NantOmics
BS_AGTPCRR4	NantOmics
BS_AHEFXG7W	NantOmics
BS_AKRHBPNZ	NantOmics
BS_AP0SZ364	NantOmics
BS_AWH9757B	NantOmics
BS_AYDD070S	NOT REPORTED
BS_AZN38B7V	NantOmics
BS_B1C6GZ84	NantOmics
BS_B24PKKQB	NantOmics
BS_B2BWSTJV	NOT REPORTED
BS_B3M5SGPA	NantOmics
BS_B61168DE	NantOmics
BS_B741RZY9	NantOmics
BS_B7QS4DHK	NantOmics
BS_B7X8VXQ3	NantOmics
BS_B9V8RGTA	NantOmics
BS_BC936YNZ	NantOmics
BS_BJDNWMJH	NantOmics
BS_BKQZ550R	NantOmics
BS_BMMY0H73	BGI@CHOP Genome Center
BS_BN986DF6	NantOmics
BS_BPSTSCBJ	NantOmics
BS_BPWEFR89	NantOmics
BS_BSV07M7Z	NantOmics
BS_BVSW4GTG	NantOmics
BS_BWBDH9GM	NantOmics
BS_BYCX6VK1	NOT REPORTED
BS_C05FKR8X	NantOmics
BS_C3P5BC92	NantOmics
BS_C41DJZ1F	NantOmics
BS_C51RB0YR	NantOmics
BS_C6SKJG3N	NantOmics
BS_C6ZZ3FY5	BGI@CHOP Genome Center
BS_C7A2TYAC	NantOmics
BS_C7N3J4NW	NantOmics
BS_C83TK159	The Translational Genomics Research Institute
BS_C84NQED0	NOT REPORTED
BS_CB6VK7PB	NantOmics
BS_CGB2WS2A	NantOmics
BS_CQSAJ7BF	NantOmics
BS_CREQ97QC	NantOmics
BS_CTR5X93B	NantOmics
BS_CXVGG342	NantOmics
BS_CXVJK2FY	NantOmics
BS_CZ3ER8DY	BGI@CHOP Genome Center
BS_CZ3NA7KV	BGI@CHOP Genome Center
BS_CZ82ANWP	NantOmics
BS_D0BGESQF	NantOmics
BS_D144EJRQ	NantOmics
BS_D29RPBSZ	NantOmics
BS_D2K9C7XR	NantOmics
BS_D3YBV7KB	NantOmics
BS_D7XRFE0R	BGI
BS_D8N31T39	NantOmics
BS_D9GEXXHX	NantOmics
BS_DBDXCXT5	NantOmics
BS_DBXCETW2	NOT REPORTED
BS_DGTPWJ59	NantOmics
BS_DHA5FMVW	NantOmics
BS_DHWN3X5S	NOT REPORTED
BS_DMZP9G1H	NantOmics
BS_DPF1CX0G	NantOmics
BS_DRY58DTF	NantOmics
BS_DSS3S5XD	NantOmics
BS_DV86M0Y7	NantOmics
BS_DYHEFXJC	NOT REPORTED
BS_E1CGF3KV	NantOmics
BS_E359X3QV	NOT REPORTED
BS_E3BAT4C1	NantOmics
BS_E60JZ9Z3	NantOmics
BS_E94QRJDW	NantOmics
BS_EBMCTR80	NantOmics
BS_EE5Z0Z4J	NOT REPORTED
BS_EF775B3K	NantOmics
BS_EFE4YEK3	NantOmics
BS_EFEZB0ZH	NantOmics
BS_EJ9JKM1C	NantOmics
BS_EK5PCKY0	BGI@CHOP Genome Center
BS_EMMF4PZX	NantOmics
BS_EN2VK7NY	NantOmics
BS_EPZ2H50J	NOT REPORTED
BS_ERJAJ0KA	NantOmics
BS_ERWT0ZWE	NantOmics
BS_ET8CJXSF	NantOmics
BS_EXEE6TDK	NOT REPORTED
BS_EXGBH3TD	NantOmics
BS_EZ3147MX	The Translational Genomics Research Institute
BS_EZRVK9ZQ	NOT REPORTED
BS_F0JB4EAK	The Translational Genomics Research Institute
BS_F2F7BXT5	NOT REPORTED
BS_F4E8R9VY	NantOmics
BS_F6V1Y4QS	NantOmics
